Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
Fri 1 Jan,6:38,8:01,12:38,2:57,5:15,6:38
Sat 2 Jan,6:38,8:01,12:39,2:58,5:16,6:39
Sun 3 Jan,6:38,8:01,12:39,2:59,5:17,6:40
Mon 4 Jan,6:38,8:01,12:39,2:59,5:18,6:41
Tue 5 Jan,6:39,8:01,12:40,3:00,5:19,6:42
Wed 6 Jan,6:39,8:01,12:40,3:01,5:20,6:42
Thu 7 Jan,6:39,8:01,12:41,3:02,5:21,6:43
Fri 8 Jan,6:38,8:01,12:41,3:03,5:22,6:44
Sat 9 Jan,6:38,8:01,12:42,3:04,5:23,6:45
Sun 10 Jan,6:38,8:01,12:42,3:05,5:24,6:46
Mon 11 Jan,6:38,8:00,12:42,3:06,5:25,6:47
Tue 12 Jan,6:38,8:00,12:43,3:07,5:26,6:48
Wed 13 Jan,6:38,8:00,12:43,3:08,5:27,6:49
Thu 14 Jan,6:37,7:59,12:44,3:09,5:28,6:50
Fri 15 Jan,6:37,7:59,12:44,3:10,5:29,6:51
Sat 16 Jan,6:37,7:58,12:44,3:11,5:31,6:52
Sun 17 Jan,6:36,7:58,12:45,3:12,5:32,6:53
Mon 18 Jan,6:36,7:57,12:45,3:13,5:33,6:54
Tue 19 Jan,6:36,7:57,12:45,3:14,5:34,6:55
Wed 20 Jan,6:35,7:56,12:45,3:15,5:35,6:56
Thu 21 Jan,6:35,7:55,12:46,3:16,5:37,6:57
Fri 22 Jan,6:34,7:55,12:46,3:17,5:38,6:58
Sat 23 Jan,6:34,7:54,12:46,3:18,5:39,6:59
Sun 24 Jan,6:33,7:53,12:46,3:19,5:40,7:00
Mon 25 Jan,6:32,7:52,12:47,3:20,5:42,7:02
Tue 26 Jan,6:32,7:52,12:47,3:21,5:43,7:03
Wed 27 Jan,6:31,7:51,12:47,3:23,5:44,7:04
Thu 28 Jan,6:30,7:50,12:47,3:24,5:45,7:05
Fri 29 Jan,6:30,7:49,12:47,3:25,5:47,7:06
Sat 30 Jan,6:29,7:48,12:48,3:26,5:48,7:07
Sun 31 Jan,6:28,7:47,12:48,3:27,5:49,7:08
